Actual output,Predicted Output
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,acc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
acc,acc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
vgood,acc
unacc,unacc
acc,unacc
unacc,unacc
unacc,acc
unacc,unacc
acc,unacc
acc,acc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
vgood,vgood
acc,acc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
vgood,unacc
unacc,unacc
unacc,acc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
good,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
good,acc
unacc,unacc
vgood,vgood
unacc,unacc
acc,acc
unacc,unacc
acc,acc
unacc,unacc
good,unacc
acc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
good,vgood
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
good,acc
acc,unacc
acc,acc
acc,acc
acc,acc
unacc,unacc
acc,acc
unacc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
vgood,acc
acc,acc
unacc,unacc
unacc,unacc
good,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
good,good
acc,acc
unacc,unacc
acc,acc
unacc,unacc
acc,acc
acc,acc
unacc,unacc
acc,acc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
good,acc
acc,acc
unacc,unacc
unacc,unacc
vgood,acc
unacc,unacc
good,unacc
unacc,unacc
vgood,vgood
unacc,unacc
acc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
good,acc
unacc,unacc
unacc,unacc
acc,acc
acc,acc
vgood,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,good
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
acc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
good,acc
acc,acc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
acc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,good
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
acc,acc
unacc,unacc
unacc,unacc
unacc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,unacc
acc,acc
unacc,unacc
acc,unacc
unacc,unacc
unacc,unacc
acc,acc
vgood,vgood
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
