Actual output,Predicted Output
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
acc,acc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
vgood,vgood
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
acc,acc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
vgood,vgood
acc,acc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
vgood,vgood
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
good,good
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
good,good
unacc,unacc
vgood,vgood
unacc,unacc
acc,acc
unacc,unacc
acc,acc
unacc,unacc
good,good
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
good,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
good,good
acc,acc
acc,acc
acc,acc
acc,acc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
vgood,vgood
acc,acc
unacc,unacc
unacc,unacc
good,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
good,good
acc,acc
unacc,unacc
acc,acc
unacc,unacc
acc,acc
acc,acc
unacc,unacc
acc,acc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
good,good
acc,acc
unacc,unacc
unacc,unacc
vgood,vgood
unacc,unacc
good,good
unacc,unacc
vgood,vgood
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
good,good
unacc,good
unacc,unacc
acc,acc
acc,acc
vgood,vgood
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
good,good
acc,acc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,good
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
acc,acc
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
acc,acc
vgood,vgood
unacc,unacc
acc,acc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
unacc,unacc
acc,acc
unacc,unacc
